,utt,label,wavfile
0,AESRC2020-AMERICAN-ACCENT-G00006-G00006S1259,0,AESRC2020-TESTSET-02823.wav
1,AESRC2020-AMERICAN-ACCENT-G00006-G00006S1260,0,AESRC2020-TESTSET-17009.wav
2,AESRC2020-AMERICAN-ACCENT-G00006-G00006S2414,0,AESRC2020-TESTSET-17833.wav
3,AESRC2020-AMERICAN-ACCENT-G00006-G00006S2415,0,AESRC2020-TESTSET-02348.wav
4,AESRC2020-AMERICAN-ACCENT-G00006-G00006S3425,0,AESRC2020-TESTSET-07225.wav
5,AESRC2020-AMERICAN-ACCENT-G00008-G00008S1259,0,AESRC2020-TESTSET-09295.wav
6,AESRC2020-AMERICAN-ACCENT-G00008-G00008S1260,0,AESRC2020-TESTSET-13530.wav
7,AESRC2020-AMERICAN-ACCENT-G00008-G00008S2415,0,AESRC2020-TESTSET-12180.wav
8,AESRC2020-AMERICAN-ACCENT-G00008-G00008S3425,0,AESRC2020-TESTSET-16902.wav
9,AESRC2020-AMERICAN-ACCENT-G00011-G00011S1259,0,AESRC2020-TESTSET-06485.wav
10,AESRC2020-AMERICAN-ACCENT-G00011-G00011S1260,0,AESRC2020-TESTSET-14410.wav
11,AESRC2020-AMERICAN-ACCENT-G00011-G00011S2414,0,AESRC2020-TESTSET-08187.wav
12,AESRC2020-AMERICAN-ACCENT-G00011-G00011S2415,0,AESRC2020-TESTSET-14200.wav
13,AESRC2020-AMERICAN-ACCENT-G00011-G00011S3424,0,AESRC2020-TESTSET-00236.wav
14,AESRC2020-AMERICAN-ACCENT-G00013-G00013S2414,0,AESRC2020-TESTSET-13728.wav
15,AESRC2020-AMERICAN-ACCENT-G00013-G00013S2415,0,AESRC2020-TESTSET-14925.wav
16,AESRC2020-AMERICAN-ACCENT-G00013-G00013S3425,0,AESRC2020-TESTSET-08123.wav
17,AESRC2020-AMERICAN-ACCENT-G00014-G00014S1260,0,AESRC2020-TESTSET-15427.wav
18,AESRC2020-AMERICAN-ACCENT-G00014-G00014S2415,0,AESRC2020-TESTSET-11650.wav
19,AESRC2020-AMERICAN-ACCENT-G00014-G00014S3425,0,AESRC2020-TESTSET-13981.wav
20,AESRC2020-AMERICAN-ACCENT-G00014-G00014S4430,0,AESRC2020-TESTSET-08743.wav
21,AESRC2020-AMERICAN-ACCENT-G00014-G00014S5450,0,AESRC2020-TESTSET-15334.wav
22,AESRC2020-AMERICAN-ACCENT-G00021-G00021S1260,0,AESRC2020-TESTSET-07793.wav
23,AESRC2020-AMERICAN-ACCENT-G00021-G00021S2415,0,AESRC2020-TESTSET-14053.wav
24,AESRC2020-AMERICAN-ACCENT-G00021-G00021S3425,0,AESRC2020-TESTSET-12012.wav
25,AESRC2020-AMERICAN-ACCENT-G00021-G00021S4430,0,AESRC2020-TESTSET-06434.wav
26,AESRC2020-AMERICAN-ACCENT-G00021-G00021S5450,0,AESRC2020-TESTSET-17832.wav
