,utt,label,gender,age,wavfile
0,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1001,0,0,20,US/G00007/G00007S1001.wav
1,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1002,0,0,20,US/G00007/G00007S1002.wav
2,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1004,0,0,20,US/G00007/G00007S1004.wav
3,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1007,0,0,20,US/G00007/G00007S1007.wav
4,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1009,0,0,20,US/G00007/G00007S1009.wav
5,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1013,0,0,20,US/G00007/G00007S1013.wav
6,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1014,0,0,20,US/G00007/G00007S1014.wav
7,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1015,0,0,20,US/G00007/G00007S1015.wav
8,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1016,0,0,20,US/G00007/G00007S1016.wav
9,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1017,0,0,20,US/G00007/G00007S1017.wav
10,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1021,0,0,20,US/G00007/G00007S1021.wav
11,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1024,0,0,20,US/G00007/G00007S1024.wav
12,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1025,0,0,20,US/G00007/G00007S1025.wav
13,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1026,0,0,20,US/G00007/G00007S1026.wav
14,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1027,0,0,20,US/G00007/G00007S1027.wav
15,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1029,0,0,20,US/G00007/G00007S1029.wav
16,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1030,0,0,20,US/G00007/G00007S1030.wav
17,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1034,0,0,20,US/G00007/G00007S1034.wav
18,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1037,0,0,20,US/G00007/G00007S1037.wav
19,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1041,0,0,20,US/G00007/G00007S1041.wav
20,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1043,0,0,20,US/G00007/G00007S1043.wav
21,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1046,0,0,20,US/G00007/G00007S1046.wav
22,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1049,0,0,20,US/G00007/G00007S1049.wav
23,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1050,0,0,20,US/G00007/G00007S1050.wav
24,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1054,0,0,20,US/G00007/G00007S1054.wav
25,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1055,0,0,20,US/G00007/G00007S1055.wav
26,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1059,0,0,20,US/G00007/G00007S1059.wav
27,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1060,0,0,20,US/G00007/G00007S1060.wav
28,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1069,0,0,20,US/G00007/G00007S1069.wav
29,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1073,0,0,20,US/G00007/G00007S1073.wav
30,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1075,0,0,20,US/G00007/G00007S1075.wav
31,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1077,0,0,20,US/G00007/G00007S1077.wav
32,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1080,0,0,20,US/G00007/G00007S1080.wav
33,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1081,0,0,20,US/G00007/G00007S1081.wav
34,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1083,0,0,20,US/G00007/G00007S1083.wav
35,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1084,0,0,20,US/G00007/G00007S1084.wav
36,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1086,0,0,20,US/G00007/G00007S1086.wav
37,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1087,0,0,20,US/G00007/G00007S1087.wav
38,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1091,0,0,20,US/G00007/G00007S1091.wav
39,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1096,0,0,20,US/G00007/G00007S1096.wav
40,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1097,0,0,20,US/G00007/G00007S1097.wav
41,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1100,0,0,20,US/G00007/G00007S1100.wav
42,AESRC2020-AMERICAN-ACCENT-G00007-G00007S1101,0,0,20,US/G00007/G00007S1101.wav
